Altitud;Categoria;Porcentaje
100-200;Terreno;0,1
200-300;Terreno;4,37
300-400;Terreno;15,75
400-500;Terreno;19,85
500-600;Terreno;23,34
600-700;Terreno;18,65
700-800;Terreno;8,24
800-900;Terreno;4,1
900-1000;Terreno;2,98
1000-1100;Terreno;1,65
1100-1200;Terreno;0,65
1200-1300;Terreno;0,26
1300-1400;Terreno;0,06
1400-1500;Terreno;0
100-200;Yacimiento;0
200-300;Yacimiento;4,76
300-400;Yacimiento;85,72
400-500;Yacimiento;4,76
500-600;Yacimiento;4,76
600-700;Yacimiento;0
700-800;Yacimiento;0
800-900;Yacimiento;0
900-1000;Yacimiento;0
1000-1100;Yacimiento;0
1100-1200;Yacimiento;0
1200-1300;Yacimiento;0
1300-1400;Yacimiento;0
1400-1500;Yacimiento;0
